index_date,crude_steel_(thousand_ton),pig_iron_(thousand_ton)
2017-02-01,2800.20660945329,2289.35800278921
2017-03-01,2862.36037309358,2356.03082137498
2017-04-01,2908.75321595511,2436.32318039301
2017-05-01,2924.66834312892,2539.48016921827
2017-06-01,2771.34945264583,2360.76197957433
2017-07-01,2769.78376524005,2300.496165154
2017-08-01,2857.31347613121,2401.72846994481
2017-09-01,2956.63332919542,2435.96406458113
2017-10-01,2896.78081586172,2350.28415790336
2017-11-01,3084.91128506623,2444.21586737788
2017-12-01,3051.49307036373,2364.14805587331
2018-01-01,2900.70736905105,2347.20831411969
2018-02-01,2954.46048193233,2370.05093677641
2018-03-01,3115.39638942886,2421.36253183327
2018-04-01,2974.99009280223,2383.64034851616
2018-05-01,2713.99963106927,2295.74059562915
2018-06-01,3071.93556455561,2471.39540729458
2018-07-01,3011.09456173392,2463.03971894025
2018-08-01,2789.2914085439,2300.19747522572
2018-09-01,3060.90872602735,2535.83998677029
2018-10-01,3048.85122186304,2426.01614347634
2018-11-01,2876.53531076486,2293.91722087642
2018-12-01,2867.76158799072,2357.99730408595
2019-01-01,2995.56696015126,2403.95199763048
2019-02-01,2931.37709651952,2376.1477671384
2019-03-01,2899.30806055022,2326.60965481366
2019-04-01,2964.05041944173,2425.51986706257
2019-05-01,2828.8121068552,2367.8731333132
2019-06-01,2985.20869180271,2392.68537653994
2019-07-01,2428.2295314658,1871.88870365638
2019-08-01,2408.57004358768,1880.11179995937
2019-09-01,2380.51512179429,1909.83877042137
2019-10-01,2538.94336741249,2081.32099027509
2019-11-01,2598.43559602296,2118.73668396407
2019-12-01,2601.64292585773,2142.41674691433
2020-01-01,2700.95813542931,2098.525766049
2020-02-01,2950.53615660402,2332.04727668035
2020-03-01,2762.19165111211,2065.74057504473
2020-04-01,1934.56096898897,1808.37614361079
2020-05-01,2263.7503425751,1792.33095617752
2020-06-01,2243.81053534303,1806.34464478223
2020-07-01,2550.79726619595,2020.35090218212
2020-08-01,2632.84303818057,2094.74714455908
2020-09-01,2638.60891786486,2023.12414312032
2020-10-01,2720.53079307856,2072.43265559575
2020-11-01,2942.62904118866,2279.93746826365
2020-12-01,3067.5088471635,2243.75224470975
2021-01-01,2982.87647838379,2344.83409289689
2021-02-01,3039.40781945723,2389.30947056489
2021-03-01,2863.85164935264,2138.72622547197
2021-04-01,3063.19768133861,2395.22611605142
2021-05-01,3145.84837007824,2495.03733954658
2021-06-01,3166.62732432815,2525.86545019084
2021-07-01,3014.7683247509,2477.62158991228
2021-08-01,3080.46152266259,2488.77294140596
2021-09-01,3118.82213029519,2501.22578656646
2021-10-01,2825.23922291343,2159.3833676437
2021-11-01,3014.19092165939,2312.88526379768
