index_date,crude_steel_(thousand_ton)_observed,crude_steel_(thousand_ton)_fitted,crude_steel_(thousand_ton)_predicted,std_error,ci_95_lower,ci_95_upper
2017-05-01,2924.66834312892,2996.5566345688508,,,,
2017-06-01,2771.34945264583,2802.750573610659,,,,
2017-07-01,2769.78376524005,2740.2952353509127,,,,
2017-08-01,2857.31347613121,2847.001531071776,,,,
2017-09-01,2956.63332919542,2878.7680189037083,,,,
2017-10-01,2896.78081586172,2842.2755438021513,,,,
2017-11-01,3084.91128506623,2942.166314701445,,,,
2017-12-01,3051.49307036373,2937.997680731806,,,,
2018-01-01,2900.70736905105,2963.9855816213753,,,,
2018-02-01,2954.46048193233,2933.1861826538975,,,,
2018-03-01,3115.39638942886,2989.7254608518692,,,,
2018-04-01,2974.99009280223,3018.694474926712,,,,
2018-05-01,2713.99963106927,2903.8797448542978,,,,
2018-06-01,3071.93556455561,2956.3880678490063,,,,
2018-07-01,3011.09456173392,3027.329093167625,,,,
2018-08-01,2789.2914085439,2867.9696358774345,,,,
2018-09-01,3060.90872602735,3029.063817473465,,,,
2018-10-01,3048.85122186304,2956.7026652263844,,,,
2018-11-01,2876.53531076486,2886.710250717737,,,,
2018-12-01,2867.76158799072,2924.8693657211925,,,,
2019-01-01,2995.56696015126,2931.6900307989777,,,,
2019-02-01,2931.37709651952,2944.4978000746723,,,,
2019-03-01,2899.30806055022,2887.2058832194616,,,,
2019-04-01,2964.05041944173,2977.2737195042023,,,,
2019-05-01,2828.8121068552,2917.0933770093156,,,,
2019-06-01,2985.20869180271,2891.6532997977306,,,,
2019-07-01,2428.2295314658,2496.6448829970286,,,,
2019-08-01,2408.57004358768,2458.465175927779,,,,
2019-09-01,2380.51512179429,2461.803756721244,,,,
2019-10-01,2538.94336741249,2572.698970541701,,,,
2019-11-01,2598.43559602296,2595.8687426821284,,,,
2019-12-01,2601.64292585773,2622.004001677613,,,,
2020-01-01,2700.95813542931,2573.020341243856,,,,
2020-02-01,2950.53615660402,2843.022920439072,,,,
2020-03-01,2762.19165111211,2653.9559452964772,,,,
2020-04-01,1934.56096898897,2471.559681496473,,,,
2020-05-01,2263.7503425751,2161.753224176516,,,,
2020-06-01,2243.81053534303,2278.6725692719087,,,,
2020-07-01,2550.79726619595,2445.8575290986396,,,,
2020-08-01,2632.84303818057,2567.932018520324,,,,
2020-09-01,2638.60891786486,2528.5774704705545,,,,
2020-10-01,2720.53079307856,2618.4467831606753,,,,
2020-11-01,2942.62904118866,2836.519498571169,,,,
2020-12-01,3067.5088471635,2845.1113953411063,,,,
2021-01-01,2982.87647838379,3032.414168123882,,,,
2021-02-01,3039.40781945723,3016.3807101130615,,,,
2021-03-01,2863.85164935264,2808.046069481259,,,,
2021-04-01,3063.19768133861,3054.0995719308557,,,,
2021-05-01,3145.84837007824,3136.1242690839777,,,,
2021-06-01,3166.62732432815,3162.688848770691,,,,
2021-07-01,3014.7683247509,3118.5219098749576,,,,
2021-08-01,3080.46152266259,3070.540300833293,,,,
2021-09-01,3118.82213029519,3094.4588800232127,,,,
2021-10-01,2825.23922291343,2809.633419651192,,,,
2021-11-01,3014.19092165939,2945.8878275925335,,,,
2021-11-01,,,2945.8878275925335,96.67215822644275,2756.4138791609485,3135.3617760241186
2021-12-01,,,3060.2180677753267,96.67215822644275,2870.7441193437417,3249.692016206912
2022-01-01,,,3043.09302877017,108.9846632500626,2829.4870139328214,3256.6990436075184
2022-02-01,,,2920.7829287812165,116.11568572851733,2693.2003667131507,3148.365490849282
2022-03-01,,,3003.8640291811366,122.05691849512736,2764.6368648667462,3243.091193495527
2022-04-01,,,2959.5391177995357,127.50099503354487,2709.6417595407675,3209.436476058304
2022-05-01,,,2984.9542884135067,132.6140805191023,2725.0354667531715,3244.873110073842
2022-06-01,,,2953.963488872942,137.45557499955117,2684.5555123995773,3223.3714653463066
2022-07-01,,,3014.954515375416,142.0588041225451,2736.5243756083973,3293.384655142435
2022-08-01,,,3037.2888682778307,146.44825411715092,2750.255564609445,3324.3221719462163
2022-09-01,,,3005.9365914471064,150.643857962439,2710.6800553485587,3301.193127545654
2022-10-01,,,3047.334991756056,154.66244216445912,2744.202175352707,3350.4678081594047
2022-11-01,,,3002.70195759767,158.51844852112512,2692.0115076110983,3313.392407584242
